@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
123,'2017/02/13 21:10:43:339',5,405.823914,79.885101,36.504944,0,?,99.99,?,?
124,'2017/02/13 21:10:43:574',5,404.303802,79.229004,35.968838,0,?,99.99,?,?
125,'2017/02/13 21:10:43:782',5,404.97934,78.846863,35.712738,0,?,99.99,?,?
126,'2017/02/13 21:10:44:016',5,405.462006,78.885925,35.637241,0,?,99.99,?,?
127,'2017/02/13 21:10:44:061',5,407.624237,78.506775,35.418556,0,?,99.99,?,?
128,'2017/02/13 21:10:44:297',5,409.975494,77.856598,35.253242,0,?,99.99,?,?
129,'2017/02/13 21:10:44:528',5,411.780396,78.189819,35.184223,0,?,99.99,?,?
130,'2017/02/13 21:10:44:597',5,411.782013,78.200348,35.186256,0,?,99.99,?,?
131,'2017/02/13 21:11:26:910',6,360.931763,279.535767,39.134659,1,?,?,?,1
132,'2017/02/13 21:11:27:349',6,369.279938,284.252747,41.976974,1,?,?,?,1
133,'2017/02/13 21:11:27:590',6,377.349792,291.401672,45.830826,1,?,?,?,1
134,'2017/02/13 21:11:27:695',6,384.340088,296.351746,47.990227,1,?,?,?,1
135,'2017/02/13 21:11:27:844',6,388.779083,299.487549,48.805573,1,?,?,?,1
136,'2017/02/13 21:11:27:929',6,389.630463,299.814331,48.852566,1,?,?,?,1
137,'2017/02/13 21:11:27:981',6,389.869293,300.11792,48.898384,1,?,?,?,1
138,'2017/02/13 21:11:28:144',6,389.036896,301.791748,49.088287,1,?,?,?,1
139,'2017/02/13 21:11:28:215',6,389.553894,302.234192,49.121658,1,?,?,?,1
140,'2017/02/13 21:11:28:282',6,389.717346,302.354553,49.129269,1,?,?,?,1
141,'2017/02/13 21:11:28:374',6,389.743713,302.379272,49.128323,1,?,?,?,1
142,'2017/02/13 21:11:28:469',6,389.814117,302.41571,49.124584,1,?,?,?,1
143,'2017/02/13 21:11:28:744',6,389.896301,302.443542,49.126438,1,?,?,?,1
144,'2017/02/13 21:11:28:820',6,389.910583,302.500488,49.117355,1,?,?,?,1
145,'2017/02/13 21:11:28:916',6,389.893463,302.54718,49.106785,1,?,?,?,1
146,'2017/02/13 21:11:29:063',6,389.778961,302.659912,49.099442,1,?,?,?,1
147,'2017/02/13 21:11:29:128',6,389.684448,302.775269,49.119881,1,?,?,?,1
148,'2017/02/13 21:11:29:254',6,389.392792,303.381683,49.23867,1,?,?,?,1
149,'2017/02/13 21:11:29:376',6,389.084778,304.066284,49.390923,1,?,?,?,1
150,'2017/02/13 21:11:29:545',6,388.848267,304.463013,49.463036,1,?,?,?,1
